2015-12-10 10:33:28,988 DEBUG [java.sql.Connection] - {conn-100000} Connection
2015-12-10 10:33:28,996 DEBUG [java.sql.Connection] - {conn-100000} Preparing Statement:    select      cd.ID,   cd.NAME,   cd.CODE,   cd.VALUE,   cd.GROUP_NAME,   cd.PARENT_ID,   cd.ORDERING,   cd.MEMO,   cd.OPERATOR,   cd.GMT_CREATE,   cd.GMT_MODIFY     from COMM_DATADIC cd   order by cd.GROUP_NAME, cd.PARENT_ID, cd.ORDERING,   cd.GMT_CREATE  
2015-12-10 10:33:29,055 DEBUG [java.sql.PreparedStatement] - {pstm-100001} Executing Statement:    select      cd.ID,   cd.NAME,   cd.CODE,   cd.VALUE,   cd.GROUP_NAME,   cd.PARENT_ID,   cd.ORDERING,   cd.MEMO,   cd.OPERATOR,   cd.GMT_CREATE,   cd.GMT_MODIFY     from COMM_DATADIC cd   order by cd.GROUP_NAME, cd.PARENT_ID, cd.ORDERING,   cd.GMT_CREATE  
2015-12-10 10:33:29,056 DEBUG [java.sql.PreparedStatement] - {pstm-100001} Parameters: []
2015-12-10 10:33:29,056 DEBUG [java.sql.PreparedStatement] - {pstm-100001} Types: []
2015-12-10 10:33:29,106 DEBUG [java.sql.ResultSet] - {rset-100002} ResultSet
2015-12-10 10:33:29,136 DEBUG [java.sql.ResultSet] - {rset-100002} Header: [ID, NAME, CODE, VALUE, GROUP_NAME, PARENT_ID, ORDERING, MEMO, OPERATOR, GMT_CREATE, GMT_MODIFY]
2015-12-10 10:33:29,155 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10091, 平顶山, null, 508, city, 10082, 9, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,155 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10092, 濮阳, null, 509, city, 10082, 10, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,156 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10093, 三门峡, null, 510, city, 10082, 11, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,156 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10094, 商丘, null, 511, city, 10082, 12, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,156 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10095, 新乡, null, 512, city, 10082, 13, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,157 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10096, 信阳, null, 513, city, 10082, 14, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,157 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10097, 许昌, null, 514, city, 10082, 15, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,159 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10098, 周口, null, 515, city, 10082, 16, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,159 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10099, 驻马店, null, 516, city, 10082, 17, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,160 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10101, 哈尔滨, null, 600, city, 10100, 1, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,160 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10102, 大庆, null, 601, city, 10100, 2, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,161 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10103, 大兴安岭, null, 602, city, 10100, 3, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,161 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10104, 鹤岗, null, 603, city, 10100, 4, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,162 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10105, 黑河, null, 604, city, 10100, 5, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,162 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10106, 鸡西, null, 605, city, 10100, 6, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,163 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10107, 佳木斯, null, 606, city, 10100, 7, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,163 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10108, 牡丹江, null, 607, city, 10100, 8, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,164 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10109, 七台河, null, 608, city, 10100, 9, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,164 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10110, 齐齐哈尔, null, 609, city, 10100, 10, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,165 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10111, 双鸭山, null, 610, city, 10100, 11, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,165 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10112, 绥化, null, 611, city, 10100, 12, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,166 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10113, 伊春, null, 612, city, 10100, 13, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,166 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10115, 长春, null, 700, city, 10114, 1, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,167 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10116, 白城, null, 701, city, 10114, 2, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,167 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10117, 白山, null, 702, city, 10114, 3, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,167 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10118, 吉林, null, 703, city, 10114, 4, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,168 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10119, 辽源, null, 704, city, 10114, 5, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,168 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10120, 四平, null, 705, city, 10114, 6, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,169 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10121, 松原, null, 706, city, 10114, 7, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,169 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10122, 通化, null, 707, city, 10114, 8, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,170 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10123, 延边, null, 708, city, 10114, 9, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,170 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10125, 沈阳, null, 800, city, 10124, 1, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,171 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10126, 鞍山, null, 801, city, 10124, 2, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,171 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10127, 本溪, null, 802, city, 10124, 3, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,172 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10128, 朝阳, null, 803, city, 10124, 4, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,172 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10129, 大连, null, 804, city, 10124, 5, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,172 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10130, 丹东, null, 805, city, 10124, 6, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,174 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10131, 抚顺, null, 806, city, 10124, 7, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,174 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10132, 阜新, null, 807, city, 10124, 8, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,175 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10133, 葫芦岛, null, 808, city, 10124, 9, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,175 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10134, 锦州, null, 809, city, 10124, 10, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,176 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10135, 辽阳, null, 810, city, 10124, 11, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,176 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10136, 盘锦, null, 811, city, 10124, 12, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,177 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10137, 铁岭, null, 812, city, 10124, 13, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,177 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10138, 营口, null, 813, city, 10124, 14, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
